number_of_hours_slept_previous_night,exercise,number_of_meals_prior_to_workout,calories_eaten_prior_to_workout_that_day,sweat_during_workout,workout_duration,highest_workout_intensity,is_warmup,time_of_start_of_workout,time_of_end_of_workout,number_of_breaks_taken_during_workout,weight_directly_prior_to_workout,weight_directly_after_workout,water_drank_during_workout,body_part_focus_of_workout,level_of_fatigue_going_into_workout,stress_level_going_into_workout,number_of_days_since_last_workout,temperature_outside_during_workout
9.0,yoga,1.0,800.0,0,13.0,low,1,2020-12-20 16:00:00,2020-12-20 16:13:00,0,217.6,217.7,0,all,medium,low,3,35
9.0,all,2.0,1500.0,1,42.0,high,0,2020-12-20 17:00:00,2020-12-20 17:40:00,8,217.5,217.4,1,all,low,low,0,35
